phase,route,core_words,worked_example_words,approx_words_per_sentence,two_checks,one_primary_response,target_core_400_650,approx_fk_grade_heuristic,readability_limit
4,task-confidence,435,79,13.2,True,True,True,10.1,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,preparation-evidence,437,69,13.2,True,True,True,10.7,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,useful-evidence,444,72,11.4,True,True,True,10.0,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,feedback-setbacks,446,73,13.5,True,True,True,9.8,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,cba-routine,432,69,11.7,True,True,True,8.1,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,rehearsal-formats,448,72,12.8,True,True,True,10.9,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,disruption-rehearsal,435,75,13.2,True,True,True,9.1,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,combine-toolkit,462,75,11.8,True,True,True,8.8,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
